,0,1,2,3,4,5,6,7,8,9,Cluster_Label
MCHP,-2363.8192538467024,-13.376998120658577,11.555845722660289,-23.08556171548611,-12.3362110483733,-38.91989543614963,-1.8381450249283862,9.175005719021872,14.098154854100091,-11.91318301089309,0
MNST,-2771.704132795143,14.381551942214147,31.054727513446604,-33.66402251974406,-45.717553121942835,2.6098879637839847,-32.69161402729519,-12.0619081184801,-19.855515755066104,-1.2136108877945682,0
MSFT,1294.9191455596274,184.08839096404975,-9.334860264273134,171.2701732279499,-75.92706998266503,138.193919966863,-15.883259894021908,-17.560950712237908,12.881974109383357,-5.390792795998266,2
VRSK,-242.41703957320766,117.41138281448816,-44.13385953114726,-40.10355017827922,-34.88093770757515,98.67099665626321,-21.17852021417728,-36.40070387334638,-39.634171335188384,-11.376320445858706,0
BKNG,40228.84806128025,134.86043011706366,-96.3727766568463,-600.8463577210573,-134.67173849583014,-148.13808954833632,-168.2391396011762,57.317501117055734,-24.85472700547299,-31.777169193498352,1
AVGO,8663.14926783648,1156.9137154903628,-299.39521503983894,416.328100776258,139.90612470988276,-95.91406399063139,60.83151280829383,216.45607613729308,-19.133165958735752,-18.993266134444344,3
AAPL,-922.9769707312586,41.948589272263995,-30.693893333619233,45.23313727990217,-69.60416241138232,34.493041380536006,-4.747485829440649,-2.140159954091849,13.405537256637821,1.014826680600824,0
PEP,-882.9603947956684,-224.2765858300954,-51.66273154343968,9.80011599523882,-56.55899083119779,50.924607625048594,-32.40737122946404,-18.299709554506816,-4.090905969288114,-5.0184640593786956,0
DLTR,-1533.1675244553294,-288.16662074489585,-40.61772351699271,45.72869547279985,-35.475297037802285,-34.05772928538997,-82.40959049753776,-4.635509558441559,15.099906323434146,16.39758999372285,0
QCOM,-1769.9235270509469,-89.04681650906483,61.19686557527647,5.953475245419103,60.17377746719075,-62.148262950777315,4.198201004533463,21.163280207295934,18.681268607322384,-3.0766150786925026,0
JD,-3056.424968687408,-89.79128309012724,24.951655177290757,-53.072380572702095,40.99351181489299,-45.99402541050819,-30.768803191744276,-22.260875038168393,-17.579536225641053,-0.7033637465605508,0
AMZN,-1713.5073396126793,174.5398251073608,24.94860492173971,-17.184221843383973,-24.828572349155902,1.7818227660167751,-31.132054795577563,-30.87345124390571,-23.137684702300934,10.574778893860811,0
ILMN,-942.4566053373054,-714.8826908511365,-184.42989417600123,61.722922939721194,-104.05978067110684,-58.91826279618934,52.92667966544443,46.844219735931944,-56.74418832672398,12.555125436884556,0
MRNA,-1766.564119577196,-540.0168897079864,-60.649099516106865,-17.111862409341494,116.64618775273489,-59.13578836936649,6.837794908970015,-5.3527760525015315,-35.73945265016541,8.739810833548416,0
FTNT,-2663.217394882715,-20.228969033028065,-35.16511259993734,-8.706927243484502,-80.59030039537184,8.242984257509216,-1.467266982663945,11.411966867464338,13.58818182206957,-10.182314680306733,0
ZS,-1355.8097279649253,286.1683073303233,108.01087137861141,28.649575555805864,107.56562945174925,-79.84102823797794,10.06873297219696,17.684194569697247,11.940959769257564,-43.23644779893542,0
MDLZ,-2531.529555150772,-13.390540105718943,30.75425639147851,-26.29685218076644,-52.69908242575956,13.24784649756821,-37.92059154386695,-8.859804693014866,-15.23155108899198,1.4808548443548937,0
AMGN,244.4629969246388,-120.55427926628116,113.82669567905864,-156.34110428894496,174.10618196782644,84.35333094635901,-14.581220798836895,33.80299883406251,-20.765764328414317,34.1212385973211,0
ANSS,1073.7574839570354,-291.7465830739391,-171.3374103271602,88.82911804810644,-153.88358770496814,58.410267416765194,118.13633921314367,48.3895651358981,31.357166005983498,-49.55863477249462,2
INTC,-3090.4706556309366,96.93533802592904,75.14475115687615,-48.55741784797425,-25.62320550075494,-14.445226948800666,-24.09492013596574,4.269356346465732,-7.855174836745563,11.27179475316651,0
MRVL,-2819.6784530600216,102.82125025641633,-17.103593483044065,-25.5224616050869,-29.205057099697083,-29.743993991660034,-12.434274831477282,-13.666577706380295,-23.556905427969728,-13.527895620554066,0
